Database	Sample	Frac_unclassified	Count_unclassified
HUMAN_REPS-3113	C5_chow_D2_PL38_kneaddata.out	 75.48	4808268
HUMAN_REPS-3113	DRR014734_1_kneaddata_paired.out	 52.51	22198007
HUMAN_REPS-3113	DRR014782_1_kneaddata_paired.out	 56.65	22232113
HUMAN_REPS-3113	DRR014783_1_kneaddata_paired.out	 52.93	21824487
HUMAN_REPS-3113	DRR014784_1_kneaddata_paired.out	 63.53	33791062
HUMAN_REPS-3113	DRR014785_1_kneaddata_paired.out	 60.02	25599315
HUMAN_REPS-3113	DRR014786_1_kneaddata_paired.out	 62.71	26243447
HUMAN_REPS-3113	DRR121530_1_kneaddata_paired.out	 45.99	941497
HUMAN_REPS-3113	DRR121531_1_kneaddata_paired.out	 46.84	1156390
HUMAN_REPS-3113	DRR121532_1_kneaddata_paired.out	 46.01	1106399
HUMAN_REPS-3113	DRR121533_1_kneaddata_paired.out	 52.78	1132952
HUMAN_REPS-3113	DRR121534_1_kneaddata_paired.out	 52.86	1266878
HUMAN_REPS-3113	DRR121535_1_kneaddata_paired.out	 52.74	890604
HUMAN_REPS-3113	DRR121536_1_kneaddata_paired.out	 43.55	1011819
HUMAN_REPS-3113	DRR121537_1_kneaddata_paired.out	 43.56	1083581
HUMAN_REPS-3113	DRR121538_1_kneaddata_paired.out	 43.70	912405
HUMAN_REPS-3113	DRR121539_1_kneaddata_paired.out	 69.52	1661719
HUMAN_REPS-3113	DRR121540_1_kneaddata_paired.out	 68.91	1402652
HUMAN_REPS-3113	DRR121541_1_kneaddata_paired.out	 68.94	1111242
HUMAN_REPS-3113	DRR121542_1_kneaddata_paired.out	 61.67	1125639
HUMAN_REPS-3113	DRR121543_1_kneaddata_paired.out	 61.57	1216372
HUMAN_REPS-3113	DRR121544_1_kneaddata_paired.out	 61.71	1121517
HUMAN_REPS-3113	E1_choline_B2_PL14_kneaddata.out	 75.99	6612309
HUMAN_REPS-3113	E2_choline_B5_PL17_kneaddata.out	 74.66	4973930
HUMAN_REPS-3113	E3_choline_E7_PL55_kneaddata.out	 61.38	3450720
HUMAN_REPS-3113	E4_choline_E9_PL57_kneaddata.out	 68.78	3275980
HUMAN_REPS-3113	E5_choline_E10_PL58_kneaddata.out	 68.53	4474124
HUMAN_REPS-3113	ERR1145758_1_kneaddata_paired.out	 66.01	23069382
HUMAN_REPS-3113	ERR1145759_1_kneaddata_paired.out	 73.50	2119792
HUMAN_REPS-3113	ERR1562569_1_kneaddata_paired.out	 58.67	2012030
HUMAN_REPS-3113	ERR1562570_1_kneaddata_paired.out	 58.61	1942058
HUMAN_REPS-3113	ERR1562571_1_kneaddata_paired.out	 57.00	2229236
HUMAN_REPS-3113	ERR1562572_1_kneaddata_paired.out	 52.97	2561798
HUMAN_REPS-3113	ERR1562573_1_kneaddata_paired.out	 59.69	3644502
HUMAN_REPS-3113	ERR1562574_1_kneaddata_paired.out	 56.65	3367016
HUMAN_REPS-3113	ERR1562575_1_kneaddata_paired.out	 59.09	2957257
HUMAN_REPS-3113	ERR1562576_1_kneaddata_paired.out	 59.35	2558662
HUMAN_REPS-3113	ERR1562577_1_kneaddata_paired.out	 57.34	2828199
HUMAN_REPS-3113	ERR1562578_1_kneaddata_paired.out	 55.43	1937837
HUMAN_REPS-3113	ERR1562579_1_kneaddata_paired.out	 58.75	2271110
HUMAN_REPS-3113	ERR1562580_1_kneaddata_paired.out	 56.06	2025697
HUMAN_REPS-3113	ERR1562581_1_kneaddata_paired.out	 58.98	3330123
HUMAN_REPS-3113	ERR1562582_1_kneaddata_paired.out	 52.69	2224769
HUMAN_REPS-3113	ERR1562583_1_kneaddata_paired.out	 58.02	2120807
HUMAN_REPS-3113	ERR1562584_1_kneaddata_paired.out	 44.90	1478969
HUMAN_REPS-3113	ERR1562585_1_kneaddata_paired.out	 54.70	2251843
HUMAN_REPS-3113	ERR1562586_1_kneaddata_paired.out	 61.71	2992452
HUMAN_REPS-3113	ERR1562587_1_kneaddata_paired.out	 61.70	4152861
HUMAN_REPS-3113	ERR1562588_1_kneaddata_paired.out	 59.80	2667628
HUMAN_REPS-3113	ERR1562589_1_kneaddata_paired.out	 59.97	3334339
HUMAN_REPS-3113	ERR1562590_1_kneaddata_paired.out	 63.38	4348836
