Sample	Species	Taxonomy_ID	Taxonomy_level	Kraken_initial	Added_reads	Species_read_count	Species_read_fraction
DRR014783_1_kneaddata_paired	Thermotogota	33086	P	37	0	37	0.00000
DRR014783_1_kneaddata_paired	Elusimicrobiota	11888	P	28	0	28	0.00000
DRR014784_1_kneaddata_paired	Firmicutes_A	14608	P	22791773	116759	22908532	0.50335
DRR014784_1_kneaddata_paired	Bacteroidota	4587	P	19590905	155985	19746890	0.43389
DRR014784_1_kneaddata_paired	Desulfobacterota_A	11509	P	1222358	13261	1235619	0.02715
DRR014784_1_kneaddata_paired	Deferribacterota	10822	P	1099626	3947	1103573	0.02425
DRR014784_1_kneaddata_paired	Firmicutes	12188	P	422080	6595	428675	0.00942
DRR014784_1_kneaddata_paired	Proteobacteria	22518	P	39800	179	39979	0.00088
DRR014784_1_kneaddata_paired	Actinobacteriota	615	P	26409	75	26484	0.00058
DRR014784_1_kneaddata_paired	Cyanobacteria	9876	P	13681	641	14322	0.00031
DRR014784_1_kneaddata_paired	Firmicutes_B	17289	P	2484	87	2571	0.00006
DRR014784_1_kneaddata_paired	Verrucomicrobiota	33333	P	1437	71	1508	0.00003
DRR014784_1_kneaddata_paired	Campylobacterota	8700	P	1329	0	1329	0.00003
DRR014784_1_kneaddata_paired	Spirochaetota	32587	P	1012	2	1014	0.00002
DRR014784_1_kneaddata_paired	Firmicutes_I	18140	P	486	0	486	0.00001
DRR014784_1_kneaddata_paired	Firmicutes_C	17613	P	444	0	444	0.00001
DRR014784_1_kneaddata_paired	Thermotogota	33086	P	270	0	270	0.00001
DRR014784_1_kneaddata_paired	Elusimicrobiota	11888	P	63	0	63	0.00000
DRR014785_1_kneaddata_paired	Bacteroidota	4587	P	25608505	202549	25811054	0.69156
DRR014785_1_kneaddata_paired	Firmicutes_A	14608	P	10096316	50864	10147180	0.27188
DRR014785_1_kneaddata_paired	Deferribacterota	10822	P	448454	1614	450068	0.01206
DRR014785_1_kneaddata_paired	Desulfobacterota_A	11509	P	399993	4101	404094	0.01083
DRR014785_1_kneaddata_paired	Firmicutes	12188	P	382004	4046	386050	0.01034
DRR014785_1_kneaddata_paired	Proteobacteria	22518	P	78590	253	78843	0.00211
DRR014785_1_kneaddata_paired	Actinobacteriota	615	P	24454	83	24537	0.00066
DRR014785_1_kneaddata_paired	Cyanobacteria	9876	P	12290	690	12980	0.00035
DRR014785_1_kneaddata_paired	Firmicutes_B	17289	P	5137	181	5318	0.00014
DRR014785_1_kneaddata_paired	Spirochaetota	32587	P	756	1	757	0.00002
DRR014785_1_kneaddata_paired	Campylobacterota	8700	P	647	0	647	0.00002
DRR014785_1_kneaddata_paired	Verrucomicrobiota	33333	P	642	30	672	0.00002
DRR014785_1_kneaddata_paired	Firmicutes_C	17613	P	239	0	239	0.00001
DRR014785_1_kneaddata_paired	Firmicutes_I	18140	P	237	0	237	0.00001
DRR014785_1_kneaddata_paired	Elusimicrobiota	11888	P	40	0	40	0.00000
DRR014785_1_kneaddata_paired	Thermotogota	33086	P	34	0	34	0.00000
DRR014786_1_kneaddata_paired	Bacteroidota	4587	P	20159998	162742	20322740	0.57684
DRR014786_1_kneaddata_paired	Firmicutes_A	14608	P	13213305	63499	13276804	0.37685
DRR014786_1_kneaddata_paired	Firmicutes	12188	P	986802	5072	991874	0.02815
DRR014786_1_kneaddata_paired	Deferribacterota	10822	P	331164	1104	332268	0.00943
DRR014786_1_kneaddata_paired	Desulfobacterota_A	11509	P	238875	2469	241344	0.00685
DRR014786_1_kneaddata_paired	Proteobacteria	22518	P	27946	137	28083	0.00080
DRR014786_1_kneaddata_paired	Actinobacteriota	615	P	19184	50	19234	0.00055
DRR014786_1_kneaddata_paired	Cyanobacteria	9876	P	10005	446	10451	0.00030
DRR014786_1_kneaddata_paired	Firmicutes_B	17289	P	4418	144	4562	0.00013
DRR014786_1_kneaddata_paired	Spirochaetota	32587	P	947	2	949	0.00003
DRR014786_1_kneaddata_paired	Campylobacterota	8700	P	921	0	921	0.00003
DRR014786_1_kneaddata_paired	Verrucomicrobiota	33333	P	887	39	926	0.00003
DRR014786_1_kneaddata_paired	Firmicutes_I	18140	P	347	0	347	0.00001
DRR014786_1_kneaddata_paired	Firmicutes_C	17613	P	266	0	266	0.00001
DRR014786_1_kneaddata_paired	Elusimicrobiota	11888	P	61	0	61	0.00000
DRR014786_1_kneaddata_paired	Thermotogota	33086	P	56	0	56	0.00000
